cusip,ticker
037833100,AAPL
02079K305,GOOGL
02079K107,GOOG
023135106,AMZN
084670702,BRK.B
191216100,KO
594918104,MSFT
67066G104,NVDA
88160R101,TSLA
92826C839,V
